Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9236 - None	19	27	3	31	658	130	0	0	50	80	0
Precinct 9236 - None	22	32	9	79	658	207	3	0	60	144	2
Precinct 9237 - None	15	29	7	52	880	145	0	0	40	105	2
Precinct 9237 - None	44	37	2	127	880	331	-1	0	116	216	6
Precinct 9238 - None	18	21	7	48	792	130	0	0	36	94	0
Precinct 9238 - None	62	44	9	96	792	271	-1	2	58	212	1
Precinct 9239 - None	17	18	2	45	835	117	0	0	34	83	1
Precinct 9239 - None	57	42	8	132	835	318	0	0	76	242	3
Precinct 9241 - None	17	23	6	77	961	158	1	0	33	124	1
Precinct 9241 - None	64	46	8	129	961	322	2	0	72	248	1
Precinct 9242 - None	21	13	6	64	940	154	0	0	50	104	0
Precinct 9242 - None	32	48	12	130	940	300	3	0	75	222	0
Precinct 9243 - None	16	20	6	60	572	135	0	0	32	103	1
Precinct 9243 - None	25	30	6	86	572	188	1	0	40	147	0
Precinct 9244 - None	10	22	6	73	880	149	1	0	34	114	3
Precinct 9244 - None	24	32	10	129	880	269	-1	0	73	197	2
Precinct 9245 - None	10	17	4	58	706	128	0	1	38	89	0
Precinct 9245 - None	29	25	5	107	706	226	2	0	56	168	2
Precinct 9246 - None	16	21	6	56	910	139	0	0	39	100	1
Precinct 9246 - None	37	37	10	127	910	299	-1	0	88	212	1
Precinct 9247 - None	13	34	5	68	936	151	-1	0	31	121	1
Precinct 9247 - None	36	60	22	129	936	303	1	0	53	249	2
Precinct 9248 - None	10	34	6	84	898	181	0	0	47	134	0
Precinct 9248 - None	29	32	10	136	898	282	6	0	69	207	0
Precinct 9249 - None	26	21	6	77	910	187	1	0	56	130	0
Precinct 9249 - None	39	43	7	142	910	314	3	0	78	233	2
Precinct 9251 - None	29	35	5	79	946	204	0	0	56	148	0
Precinct 9251 - None	39	66	26	146	946	342	-1	1	64	278	1
Precinct 9252 - None	13	25	5	64	913	140	-1	0	34	107	0
Precinct 9252 - None	52	45	33	145	913	352	1	0	73	278	3
Precinct 9253 - None	17	21	7	58	751	138	4	0	31	103	0
Precinct 9253 - None	37	41	20	100	751	272	0	3	71	198	0
Precinct 9254 - None	12	28	6	71	889	168	0	0	49	119	2
Precinct 9254 - None	30	40	16	147	889	318	-2	1	84	235	2
Precinct 9255 - None	9	29	1	59	545	126	0	0	28	98	0
Precinct 9255 - None	17	11	3	71	545	128	1	0	24	103	1
Precinct 9256 - None	1	8	0	46	433	77	0	0	22	55	0
Precinct 9256 - None	9	16	5	45	433	103	-1	0	29	75	0
Precinct 9257 MB - None	10	17	11	69	312	150	-1	0	39	112	5
Precinct 9258 - None	5	18	9	69	699	127	0	0	25	102	1
Precinct 9258 - None	30	18	22	113	699	244	-2	0	61	185	2
Precinct 9401 - None	12	25	6	100	970	194	-1	0	51	144	1
Precinct 9401 - None	18	36	25	142	970	293	-2	0	70	225	4
Precinct 9402 - None	16	24	19	80	931	197	0	0	56	141	2
Precinct 9402 - None	33	48	36	116	931	307	1	1	72	233	0
Precinct 9403 - None	12	23	18	71	853	167	0	0	41	126	2
Precinct 9403 - None	44	31	38	119	853	286	2	0	50	234	2
Precinct 9404 - None	18	18	12	65	889	153	0	0	40	113	0
Precinct 9404 - None	42	35	52	121	889	320	3	0	66	251	1
Precinct 9405 - None	21	28	20	56	757	160	-1	0	35	126	1
Precinct 9405 - None	38	26	32	96	757	245	1	1	48	195	3
Precinct 9406 - None	27	20	22	72	815	179	0	0	36	143	2
Precinct 9406 - None	39	35	26	119	815	277	1	0	54	222	3
Precinct 9407 - None	21	24	18	82	861	191	1	0	43	147	2
Precinct 9407 - None	45	38	33	109	861	284	-1	0	58	227	2
Precinct 9408 - None	12	30	20	75	837	187	1	0	48	138	1
Precinct 9408 - None	20	26	26	113	837	246	-2	0	62	186	1
Precinct 9409 - None	8	29	2	76	565	140	0	0	24	116	1
Precinct 9409 - None	17	21	20	74	565	170	2	0	34	134	2
