Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7619 - None	30	91	993	154	-1	0	34	121	0
Precinct 7619 - None	118	138	993	308	-1	1	52	256	0
Precinct 7621 - None	54	80	1,132	163	-1	1	28	135	1
Precinct 7621 - None	140	131	1,132	346	3	1	67	275	4
Precinct 7622 - None	29	45	964	99	2	0	23	74	0
Precinct 7622 - None	71	82	964	193	1	1	38	153	0
Precinct 7623 - None	27	84	712	122	-15	1	25	111	0
Precinct 7623 - None	80	82	712	196	2	0	32	162	0
Precinct 7624 - None	36	48	905	104	1	0	19	84	0
Precinct 7624 - None	63	92	905	195	1	0	38	156	1
Precinct 7625 - None	26	22	821	73	0	0	25	48	0
Precinct 7625 - None	246	84	821	415	0	1	84	330	0
Precinct 7626 - None	51	46	1,081	128	1	1	29	97	0
Precinct 7626 - None	174	109	1,081	361	1	0	76	284	1
Precinct 7627 - None	45	41	1,075	116	-1	0	31	86	0
Precinct 7627 - None	158	87	1,075	319	0	0	74	245	0
Precinct 7628 - None	42	71	906	156	0	0	43	113	0
Precinct 7628 - None	103	120	906	267	0	0	43	224	1
Precinct 7629 - None	29	55	805	108	-1	0	25	84	0
Precinct 7629 - None	83	73	805	206	2	0	47	157	1
Precinct 7631 - None	50	60	1,085	146	-1	0	35	112	2
Precinct 7631 - None	171	103	1,085	339	2	0	62	275	1
Precinct 7632 - None	50	80	965	167	1	0	35	131	1
Precinct 7632 - None	111	135	965	286	0	0	38	248	2
Precinct 7633 - None	30	38	702	90	0	0	22	68	0
Precinct 7633 - None	138	67	702	253	0	0	48	205	0
