Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7527/7528 - None	53	89	24	21	729	237	4	1	45	187	0
Precinct 7529 - None	35	67	47	24	925	214	-1	0	41	174	1
Precinct 7529 - None	54	100	45	48	925	300	2	0	51	247	0
Precinct 7531 - None	19	71	37	18	847	179	0	0	34	145	0
Precinct 7531 - None	50	95	35	46	847	263	0	0	37	226	0
Precinct 7532 - None	35	62	24	18	823	172	1	1	31	139	0
Precinct 7532 - None	67	78	26	28	823	226	0	1	25	200	1
Precinct 7533 - None	42	79	69	40	951	268	-1	0	38	231	1
Precinct 7533 - None	63	82	57	44	951	297	0	0	51	246	0
Precinct 7534 - None	38	75	54	31	883	241	0	0	43	198	0
Precinct 7534 - None	59	82	44	22	883	240	-1	1	33	207	0
Precinct 7535 - None	36	65	34	25	743	201	0	0	38	163	3
Precinct 7535 - None	47	79	47	32	743	251	0	0	46	205	0
Precinct 7536 - None	29	68	49	18	856	206	-1	0	43	164	0
Precinct 7536 - None	59	107	33	37	856	279	0	0	43	236	0
Precinct 7537 - None	33	49	40	21	734	187	0	0	44	143	0
Precinct 7537 - None	41	66	38	31	734	225	1	0	45	179	3
Precinct 7538 - None	33	80	48	20	757	223	0	0	40	183	2
Precinct 7538 - None	50	104	36	27	757	256	0	0	39	217	0
Precinct 7539 - None	24	73	70	29	884	250	1	0	53	196	0
Precinct 7539 - None	59	102	48	30	884	286	-1	0	46	241	2
Precinct 7541 - None	26	61	44	31	791	215	1	0	50	164	2
Precinct 7541 - None	45	93	48	26	791	245	1	1	30	213	1
Precinct 7542 - None	21	56	50	15	787	183	0	0	40	143	1
Precinct 7542 - None	36	89	54	33	787	247	1	0	34	212	0
Precinct 7543 - None	31	63	26	29	910	187	-2	0	39	150	1
Precinct 7543 - None	67	140	45	33	910	332	0	0	46	286	1
Precinct 7544 - None	25	69	38	19	877	186	0	0	33	153	2
Precinct 7544 - None	66	124	44	44	877	331	-3	1	54	279	1
Precinct 7545 - None	26	62	41	19	877	179	-1	0	32	148	0
Precinct 7545 - None	64	101	33	38	877	291	0	0	54	237	1
Precinct 7546 - None	57	72	39	15	913	219	0	0	35	184	1
Precinct 7546 - None	68	103	53	42	913	310	1	0	42	267	1
Precinct 7547 - None	43	64	41	33	987	244	-2	1	64	181	0
Precinct 7547 - None	52	109	57	43	987	322	5	0	55	262	1
Precinct 7548 - None	45	83	38	24	1,054	236	1	0	43	192	2
Precinct 7548 - None	81	122	56	44	1,054	345	4	1	35	305	2
Precinct 7549 - None	24	56	23	23	785	165	-2	0	41	126	0
Precinct 7549 - None	59	102	36	41	785	281	1	0	41	239	1
Precinct 7551 - None	39	67	28	24	705	199	-1	0	42	158	0
Precinct 7551 - None	51	93	35	18	705	240	2	0	41	197	0
Precinct 7552 - None	40	70	28	21	718	191	0	0	32	159	0
Precinct 7552 - None	57	97	20	25	718	232	0	0	33	199	0
Precinct 7553 MB - None	35	26	3	11	171	87	2	0	10	75	0
Precinct 7554 - None	43	52	24	18	785	179	-1	0	41	139	2
Precinct 7554 - None	104	99	21	37	785	323	0	1	61	261	0
Precinct 7555 - None	74	73	23	23	847	242	0	1	46	195	2
Precinct 7555 - None	93	98	38	31	847	304	1	0	43	260	0
Precinct 7556/7557 - None	60	60	26	25	961	223	-3	1	54	171	0
Precinct 7556/7557 - None	147	132	41	36	961	422	1	0	65	356	0
Precinct 7601 - None	24	43	25	14	744	128	-1	1	20	108	2
