Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7554 - Election Day	219	20	808	247	0	0	8	239
Precinct 7554 - Vote By Mail	402	27	808	442	0	0	13	429
Precinct 7555 - Election Day	269	12	886	290	0	0	9	281
Precinct 7555 - Vote By Mail	424	24	886	459	0	0	11	448
Precinct 7556/7557 - Election Day	238	29	969	275	0	0	8	267
Precinct 7556/7557 - Vote By Mail	535	28	969	573	0	0	10	563
Precinct 7601 - Election Day	166	16	767	191	0	0	9	182
Precinct 7601 - Vote By Mail	244	35	767	290	0	0	11	279
Precinct 7602 - Election Day	181	19	901	213	0	0	13	200
Precinct 7602 - Vote By Mail	326	31	901	379	0	0	22	357
Precinct 7603 - Election Day	223	16	830	250	0	0	11	239
Precinct 7603 - Vote By Mail	320	38	830	376	0	1	17	358
Precinct 7604 - Election Day	218	27	954	266	0	0	21	245
Precinct 7604 - Vote By Mail	303	34	954	352	0	0	15	337
Precinct 7605 - Election Day	94	13	648	120	0	0	13	107
Precinct 7605 - Vote By Mail	161	27	648	203	0	1	14	188
Precinct 7606 - Election Day	158	25	924	205	0	1	21	183
Precinct 7606 - Vote By Mail	284	32	924	330	0	0	14	316
Precinct 7607 - Election Day	179	20	960	215	0	1	15	199
Precinct 7607 - Vote By Mail	341	48	960	407	0	0	18	389
Precinct 7608 - Election Day	55	13	392	70	0	0	2	68
Precinct 7608 - Vote By Mail	91	28	392	136	0	0	17	119
Precinct 7609 - Election Day	83	17	926	120	0	1	19	100
Precinct 7609 - Vote By Mail	248	50	926	352	0	0	54	298
Precinct 7611 - Election Day	91	15	755	126	0	0	20	106
Precinct 7611 - Vote By Mail	190	30	755	269	0	0	49	220
Precinct 7612 - Election Day	70	17	583	97	0	0	10	87
Precinct 7612 - Vote By Mail	201	41	583	265	0	0	23	242
Precinct 7613 - Election Day	168	17	908	204	0	0	19	185
Precinct 7613 - Vote By Mail	273	44	908	340	0	0	23	317
Precinct 7614 - Election Day	185	14	1,029	223	0	0	24	199
Precinct 7614 - Vote By Mail	315	46	1,029	375	0	2	12	361
Precinct 7615 - Election Day	114	23	762	162	0	0	25	137
Precinct 7615 - Vote By Mail	172	38	762	237	0	0	27	210
